Brand,Model,Make Year,Car Age (years),Kilometres Driven,km_per_year,Fuel Type,Transmission Type,Transmission Subtype,BS Norm,Number of Previous Owners,Insurance Type,Overall Quality Score,Engine Score,Systems Score,Interior Score,Exterior Score,Wear Score,Composite_Score,Value_Score,Depreciation_Category,Meter Tampered,Flooded
11,17,2021,4,50000,12500,4,1,1,0,1,0,8.82,9.8,9.4,8.2,8.5,8.2,8.82,7.2,2,0,0
4,32,2022,3,19000,6333,4,1,5,2,1,0,9.56,9.9,9.9,9.7,9.5,8.8,9.56,8.1,2,0,0
13,20,2022,3,24000,8000,4,1,0,2,1,0,9.36,9.9,9.8,9.5,9.2,8.4,9.36,7.7,2,0,0
11,17,2025,3,23000,7667,4,1,1,2,1,0,9.12,9.3,9.6,9.2,9.5,8.0,9.12,7.8,2,0,0
2,8,2016,9,132000,14667,1,0,4,1,1,0,8.12,9.1,8.4,7.2,7.9,8.0,8.12,6.5,4,0,0
7,15,2020,5,41000,8200,4,1,2,2,1,0,9.14,9.8,9.7,9.0,9.0,8.2,9.14,7.6,3,0,0
2,8,2018,7,53000,7571,1,0,4,0,1,1,9.2,9.8,9.6,9.0,9.0,8.6,9.2,8.2,3,0,0
4,5,2018,7,113000,16143,1,0,4,1,1,0,8.5,9.4,8.6,8.1,7.8,8.6,8.5,6.3,4,0,0
7,15,2021,4,48000,12000,4,1,2,2,2,1,9.2,9.8,9.7,9.3,8.9,8.3,9.2,7.4,2,0,0
14,30,2025,1,11000,11000,4,0,4,0,1,0,9.52,9.9,9.9,9.5,9.1,9.2,9.52,7.5,1,0,0
8,38,2018,7,76000,10857,1,1,5,1,1,0,8.8,9.3,9.5,8.3,8.6,8.3,8.8,7.4,4,0,0
4,5,2017,8,123000,15375,4,0,4,0,1,0,8.54,9.5,9.1,7.6,7.7,8.8,8.54,6.7,4,0,0
8,31,2025,0,5000,5000,4,1,5,0,1,0,9.82,10.0,9.9,9.9,9.8,9.5,9.82,8.2,1,0,0
13,21,2022,3,16000,5333,4,1,0,2,1,1,9.54,9.9,9.8,9.2,9.5,9.3,9.54,8.6,2,0,0
6,27,2022,3,58000,19333,1,1,5,2,1,0,8.98,9.6,9.2,8.7,9.0,8.4,8.98,6.8,2,0,0
4,33,2021,4,43000,10750,1,0,4,2,1,1,8.86,9.8,9.7,8.3,8.4,8.1,8.86,7.7,2,0,0
11,17,2022,3,29000,9667,4,1,1,2,1,0,9.22,9.8,9.7,9.2,8.9,8.5,9.22,7.7,2,0,0
4,5,2020,5,107000,21400,4,1,2,0,1,0,8.52,9.6,9.2,8.0,8.3,7.5,8.52,6.6,4,0,0
9,2,2022,3,55000,18333,4,0,4,2,2,1,9.06,9.8,9.6,9.0,8.6,8.3,9.06,6.6,2,0,0
4,5,2018,7,49000,7000,4,0,4,1,2,1,9.1,9.8,9.6,9.0,8.5,8.6,9.1,7.6,3,0,0
10,19,2022,3,54000,18000,4,1,1,2,1,0,8.98,9.8,9.5,8.8,8.8,8.0,8.98,6.9,2,0,0
6,27,2020,5,101000,20200,4,0,4,2,1,1,8.5,9.4,9.3,8.0,7.6,8.2,8.5,6.8,4,0,0
6,28,2020,5,43000,8600,4,1,2,2,1,1,9.14,9.7,9.7,9.0,8.8,8.5,9.14,8.1,3,0,0
6,27,2020,5,89000,17800,4,1,2,2,2,0,8.92,9.7,9.1,8.7,8.7,8.4,8.92,6.3,3,0,0
6,27,2019,6,64000,10667,4,0,4,1,1,1,8.96,9.8,9.4,9.0,8.6,8.0,8.96,7.8,3,0,0
4,5,2016,9,107000,11889,1,0,4,1,2,1,8.28,9.4,8.9,7.1,7.4,8.6,8.28,6.9,4,0,0
6,28,2023,2,50000,25000,4,1,2,0,1,0,9.06,9.6,9.5,9.3,8.5,8.4,9.06,6.9,2,0,0
8,39,2021,4,95000,23750,4,1,5,2,1,1,8.96,9.7,9.3,8.5,8.5,8.8,8.96,7.3,3,0,0
4,5,2015,10,104000,10400,4,0,4,0,1,1,8.64,9.6,9.2,7.4,8.2,8.8,8.64,7.6,4,0,0
13,20,2023,2,24000,12000,4,1,0,0,1,0,9.36,9.9,9.8,9.6,8.7,8.8,9.36,7.4,1,0,0
6,27,2021,4,72000,18000,4,1,2,2,1,0,8.92,9.7,9.4,8.9,8.8,7.8,8.92,6.8,3,0,0
8,31,2023,3,67000,22333,1,1,5,2,1,0,8.8,9.5,9.2,8.4,9.0,7.9,8.8,6.7,3,0,0
13,21,2024,2,32000,16000,4,0,4,0,1,1,9.42,9.9,9.8,9.5,9.0,8.9,9.42,7.3,2,0,0
9,2,2023,2,36000,18000,4,0,4,2,1,0,9.34,9.9,9.8,9.4,8.9,8.7,9.34,6.7,2,0,0
7,15,2020,5,36000,7200,1,0,4,2,1,1,9.26,9.9,9.5,9.3,9.2,8.4,9.26,8.2,3,0,0
2,8,2015,10,143000,14300,1,0,4,1,1,0,8.54,9.5,9.1,8.1,7.6,8.4,8.54,6.7,4,0,0
8,39,2023,2,54000,27000,1,0,4,0,1,0,9.28,9.8,9.6,9.2,9.1,8.7,9.28,6.7,2,0,0
9,2,2023,2,41000,20500,4,1,5,2,1,0,9.2,9.8,9.6,9.2,9.1,8.3,9.2,7.0,2,0,0
