Brand,Model,Variant / Trim,Make Year,Make Month,Registration Year,Car Age (years),Fuel Type,BS Norm,Transmission Type,Transmission Subtype,Kilometres Driven,Number of Previous Owners,Insurance Validity,Insurance Type,RTO,Car Location,Overall Quality Score,Engine Score,Systems Score,Interior Score,Exterior Score,Wear Score,Parts Evaluated,Meter Tampered,Flooded,Core Structure Intact,Next Service Due,Price (INR),Depreciation_Category,Value_Score,Country Of Origin
Tata,Nexon,XZ Plus (S),2021,Jan,2021,4,Petrol,,Manual,Regular,99000,1st Owner,Jan-27,Comprehensive,TS07,"Uppal, Hyderabad",8.86,9.5,9.3,8,8.8,8.7,1573,No,No,Yes,"12 months or 15,000 km",584800,High,7,India
Tata,Nexon,XZA Plus (S) Diesel,2021,Oct,2021,5,Diesel,BSVI,Automatic,AMT,63000,3rd Owner,Apr-27,Third Party,TS09,"Uppal, Hyderabad",8.86,9.7,9.5,8.8,7.7,8.6,1432,No,No,Yes,"12 months or 15,000 km",598400,High,6.2,India
Hyundai,Venue,SX Plus 1.0 Turbo DCT,2019,Sep,2019,6,Petrol,BSIV,Automatic,DCT,66000,1st Owner,Sep-26,Comprehensive,TS12,"Uppal, Hyderabad",8.64,9.8,9.5,7.8,8.1,8,1452,No,No,Yes,No immediate servicing required,618400,High,7.9,South Korea
Tata,Punch,Creative AMT,2024,May,2024,2,Petrol,,Automatic,AMT,8000,1st Owner,Apr-27,Third Party,TS09,"Uppal, Hyderabad",9.6,10,9.8,9.5,9.6,9.1,1452,No,No,Yes,"12 months or 15,000 km",654400,Low,8.1,India
Tata,Safari,XT Plus,2022,Jan,2022,3,Diesel,BSVI,Manual,Regular,64000,2nd Owner,Mar-27,Comprehensive,TS09,"Kukatpally, Hyderabad",9.06,9.7,9.6,9,8.6,8.4,1576,No,No,Yes,"12 months or 15,000 km",1091200,High,6.6,India
MG Motors,Hector,Sharp 2.0 Diesel,2020,Jun,2020,5,Diesel,BSVI,Manual,Regular,36000,1st Owner,Aug-26,Comprehensive,TS09,"Kukatpally, Hyderabad",9.26,9.9,9.5,9.3,9.2,8.4,1576,No,No,Yes,"12 months or 10,000 km",1044000,High,8.2,China/UK
Hyundai,Venue,SX 1.5 CRDi,2022,Apr,2022,3,Diesel,BSVI,Manual,Regular,81000,1st Owner,Apr-27,Third Party,TS07,"Uppal, Hyderabad",8.9,9.4,9.2,8.6,8.8,8.5,1576,No,No,Yes,"12 months or 10,000 km",727200,High,6.5,South Korea
MG Motors,Hector,Sharp 1.5 DCT Petrol,2020,Sep,2020,5,Petrol,BSIV,Automatic,DCT,77000,1st Owner,Apr-27,Third Party,TS04,"Kukatpally, Hyderabad",9,9.6,9.5,8.7,8.9,8.3,1452,No,No,Yes,No immediate servicing required,898400,High,7.2,China/UK
Tata,Nexon,XZA Plus (S),2021,Jul,2021,4,Petrol,BSVI,Automatic,AMT,49000,1st Owner,Aug-26,Third Party,TS15,"Uppal, Hyderabad",9.12,9.8,9.7,9,8.9,8.2,1452,No,No,Yes,"12 months or 15,000 km",686400,Medium,7.3,India
Nissan,Magnite,XV Premium Turbo CVT,2022,Feb,2022,3,Petrol,BSVI,Automatic,CVT,32000,1st Owner,Mar-27,Comprehensive,TS09,"Kukatpally, Hyderabad",9.3,9.9,9.7,9.5,8.7,8.7,1452,No,No,Yes,"12 months or 10,000 km",664800,Medium,8.2,Japan
Nissan,Magnite,XV Premium Turbo CVT,2024,Apr,2024,2,Petrol,BSVI,Automatic,CVT,37000,1st Owner,Aug-26,Comprehensive,TS09,"Uppal, Hyderabad",9.08,9.9,9.6,9,8.9,8,1452,No,No,Yes,"12 months or 10,000 km",706400,Medium,7.4,Japan
Audi,Q3,30 TFSI Premium,2018,Nov,2018,8,Petrol,BSIV,Automatic,,58000,1st Owner,Dec-26,Comprehensive,AP21,"Kukatpally, Hyderabad",9.08,9.8,9.6,9,8.9,8.1,1452,No,No,Yes,"12 months or 15,000 km",1365406,High,8.4,Germany
Kia,Seltos,GTX Plus 1.4 DCT,2022,Jul,2022,3,Petrol,BSVI,Automatic,DCT,52000,2nd Owner,Oct-26,Comprehensive,TS07,"Kukatpally, Hyderabad",8.96,9.8,9.6,9.1,8.3,8,1452,No,No,Yes,"12 months or 10,000 km",1106400,Medium,6.9,South Korea
Nissan,Magnite,XV Premium Turbo CVT,2022,Mar,2022,3,Petrol,BSVI,Automatic,CVT,28000,1st Owner,Apr-27,Third Party,AP39,"Kukatpally, Hyderabad",9.3,9.9,9.3,9.3,9.1,8.9,1452,No,No,Yes,"12 months or 10,000 km",654400,Medium,7.7,Japan
Kia,Seltos,HTX IVT 1.5,2021,Dec,2021,5,Petrol,BSVI,Automatic,CVT,68000,1st Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",8.92,9.7,9.4,8.9,8.4,8.2,1452,No,No,Yes,"12 months or 10,000 km",871164,High,7.2,South Korea
Audi,Q3,40 TFSI Technology,2023,Oct,2023,3,Petrol,BSVI,Automatic,DCT,22000,1st Owner,Apr-27,Comprehensive,TS10,"Kukatpally, Hyderabad",9.5,9.9,9.8,9.5,9.4,8.9,1452,No,No,Yes,"12 months or 15,000 km",2868286,Medium,8.6,Germany
,Lexus,NX 300h Luxury,2018,Jan,2018,7,Petrol,,Automatic,CVT,108000,2nd Owner,Insurance Type,Third Party,TS10,"Kukatpally, Hyderabad",8.86,9.6,9.3,8.5,8.7,8.2,1452,No,No,Yes,"12 months or 10,000 km",2173406,Very High,6.7,Unknown
Jeep,Compass,Limited Plus Petrol AT,2020,Nov,2020,5,Petrol,BSVI,Automatic,DCT,82000,3rd Owner,Nov-26,Comprehensive,TS15,"Kukatpally, Hyderabad",8.64,9.6,9,7.8,8.5,8.3,1452,No,No,Yes,"12 months or 15,000 km",969486,High,6.2,USA
Jeep,Compass,Trailhawk (O) 2.0 4x4,2019,Jun,2019,6,Diesel,BSVI,Automatic,Torque Convertor,70000,3rd Owner,Aug-26,Comprehensive,TS07,"Kukatpally, Hyderabad",8.86,9.6,9.5,8.7,8.8,7.7,1432,No,No,Yes,"12 months or 15,000 km",1090686,High,7,USA
Volkswagen,Taigun,Topline 1.0 TSI MT,2022,Nov,2022,4,Petrol,BSVI,Manual,Regular,120000,1st Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",8.32,9.3,9.2,7.6,8.1,7.4,1573,No,No,,"12 months or 15,000 km",763200,High,6.2,Germany
Hyundai,Creta,SX 1.5 Petrol,2020,Aug,2020,5,Petrol,BSVI,Manual,Regular,51000,1st Owner,Sep-26,Comprehensive,TS09,"Uppal, Hyderabad",9.24,9.8,9.7,9,9,8.7,1573,No,No,Yes,"12 months or 10,000 km",880000,High,7.9,South Korea
Kia,Seltos,HTX 1.5,2023,Nov,2023,3,Petrol,BSVI,Manual,Regular,47000,1st Owner,Jan-27,Comprehensive,TS07,"Kukatpally, Hyderabad",9.06,9.8,9.6,8.9,8.6,8.4,1573,No,No,Yes,"12 months or 10,000 km",966400,Medium,7.5,South Korea
Audi,Q5,45 TFSI Technology,2019,Jul,2019,7,Petrol,,Automatic,,64000,1st Owner,Nov-26,Comprehensive,TS09,"Kukatpally, Hyderabad",8.68,9.8,8.8,8.4,8.5,7.9,1452,No,No,Yes,No immediate servicing required,2092606,Very High,7.9,Germany
Hyundai,Venue,SX 1.2 Petrol,2025,Mar,2025,0,Petrol,BSVI,Manual,Regular,6000,1st Owner,Apr-27,Third Party,TG09,"Kukatpally, Hyderabad",9.84,10,10,9.9,9.7,9.6,1573,No,No,Yes,"12 months or 10,000 km",915164,Low,7.9,South Korea
Jeep,Compass,Limited Plus 2.0 Diesel 4x4 AT,2021,Jan,2021,5,Diesel,BSVI,Automatic,Torque Convertor,49000,1st Owner,Apr-27,Comprehensive,TS08,"Kukatpally, Hyderabad",9.14,9.8,9.7,9,9.1,8.1,1432,No,No,Yes,"12 months or 15,000 km",1277334,High,8.1,USA
Kia,Sonet,HTX 1.5,2021,Jun,2021,4,Diesel,BSVI,Manual,Regular,57000,2nd Owner,Apr-27,Third Party,TS07,"Uppal, Hyderabad",9,9.8,9.6,8.6,8.7,8.3,1576,No,No,Yes,"12 months or 10,000 km",689600,Medium,6.5,South Korea
Kia,Sonet,HTK Plus 1.2 Petrol MT,2023,May,2023,2,Petrol,BSVI,Manual,Regular,11000,1st Owner,Apr-27,Third Party,TS12,"Uppal, Hyderabad",9.72,9.9,9.9,9.8,9.6,9.4,1573,No,No,Yes,"12 months or 10,000 km",683200,Low,7.9,South Korea
Kia,Seltos,HTK Plus 1.5,2023,Sep,2023,3,Petrol,BSVI,Manual,Regular,45000,1st Owner,Apr-27,Third Party,TS26,"Kukatpally, Hyderabad",9.24,9.8,9.7,9.2,8.9,8.6,1573,No,No,Yes,"12 months or 10,000 km",850364,Medium,7.1,South Korea
Kia,Seltos,GTX Plus DCT 1.4,2019,Sep,2019,6,Petrol,,Automatic,DCT,35000,1st Owner,Oct-26,Comprehensive,TS07,"Kukatpally, Hyderabad",9.1,9.9,9.7,8.9,8.6,8.4,1452,No,No,Yes,"12 months or 10,000 km",984800,High,8.4,South Korea
Kia,Seltos,GTX Plus DCT 1.4,2020,Nov,2020,5,Petrol,BSVI,Automatic,DCT,103000,1st Owner,Dec-26,Third Party,TS07,"Kukatpally, Hyderabad",8.72,9.6,9.2,8.1,8.4,8.3,1452,No,No,Yes,No immediate servicing required,875200,Very High,6.7,South Korea
Kia,Seltos,GTX Plus 1.4 DCT,2021,Apr,2021,4,Petrol,BSVI,Automatic,DCT,72000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",8.92,9.7,9.4,8.9,8.8,7.8,1452,No,No,Yes,No immediate servicing required,972800,High,6.8,South Korea
Kia,Seltos,GTX Plus 1.4 DCT,2021,Mar,2021,4,Petrol,BSVI,Automatic,DCT,103000,1st Owner,Apr-27,Third Party,TS09,"Kukatpally, Hyderabad",8.52,9.6,8.5,8.3,8.3,7.9,1452,No,No,Yes,"12 months or 10,000 km",884000,High,6.6,South Korea
Kia,Seltos,GTX Plus DCT 1.4,2020,Mar,2020,5,Petrol,,Automatic,DCT,92000,1st Owner,Apr-27,Third Party,TS07,"Hafeezpet, Hyderabad",8.78,9.7,9.3,8.6,8.1,8.2,1452,No,No,Yes,No immediate servicing required,881564,Very High,6.8,South Korea
Volkswagen,Taigun,Topline 1.0 TSI MT,2023,Dec,2023,3,Petrol,BSVI,Manual,Regular,74000,1st Owner,Apr-27,Third Party,AP39,"Kukatpally, Hyderabad",8.9,9.7,9.4,9.1,8.1,8.2,1573,No,No,Yes,No immediate servicing required,828800,High,6.5,Germany
Nissan,Magnite,XV Premium Turbo CVT,2023,Apr,2023,2,Petrol,,Automatic,CVT,29000,1st Owner,Apr-27,Third Party,TS08,"Uppal, Hyderabad",9.2,9.9,9.8,9.1,8.6,8.6,1452,No,No,Yes,"12 months or 10,000 km",719200,Low,7.4,Japan
MG Motors,Hector,Sharp 2.0 Diesel Turbo MT,2022,Feb,2022,3,Diesel,BSVI,Manual,Regular,35000,1st Owner,Feb-27,Comprehensive,TS07,"Kukatpally, Hyderabad",9.18,9.9,9.5,9.1,9.2,8.2,1576,No,No,Yes,"12 months or 10,000 km",95,Medium,7.9,China/UK
Kia,Seltos,GTX Plus 1.5 Diesel AT,2021,Jun,2021,4,Diesel,BSVI,Automatic,Torque Convertor,102000,1st Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",8.72,9.6,9.2,8.6,8.1,8.1,1432,No,No,Yes,No immediate servicing required,1024430,High,6.7,South Korea
MG Motors,Hector,Sharp 1.5 Petrol CVT,2021,Feb,2021,4,Petrol,,Automatic,CVT,50000,1st Owner,Apr-27,Third Party,TS09,"Hafeezpet, Hyderabad",9,9.8,9.5,8.9,8.5,8.3,1452,No,No,Yes,"12 months or 10,000 km",11,Medium,7.3,China/UK
BMW,X1,sDrive18d M Sport,2024,Apr,2024,2,Diesel,BSIV,Automatic,DCT,23000,1st Owner,Dec-26,Comprehensive,TS09,"Kukatpally, Hyderabad",9.38,9.9,9.8,9.3,9.3,8.6,1432,No,No,Yes,"12 months or 15,000 km",3676286,Low,8.2,Germany
Volkswagen,Taigun,Topline 1.0 TSI MT,2022,Feb,2022,3,Petrol,BSVI,Manual,Regular,120000,1st Owner,Apr-27,Third Party,TS07,"Hafeezpet, Hyderabad",8.54,9.6,8.9,7.9,7.9,8.4,1573,No,No,Yes,No immediate servicing required,897600,High,6.4,Germany
Kia,Sonet,GTX Plus 1.0 DCT,2022,Oct,2022,3,Petrol,BSVI,Automatic,DCT,45000,2nd Owner,Aug-26,Comprehensive,TS07,"Uppal, Hyderabad",9,9.6,9.7,9,8.3,8.4,1452,No,No,Yes,No immediate servicing required,837600,Medium,7.2,South Korea
Tata,Nexon,XMA (S),2022,May,2022,3,Petrol,BSVI,Automatic,AMT,24000,1st Owner,Apr-27,Third Party,TS07,"Uppal, Hyderabad",9.36,9.9,9.8,9.5,9.2,8.4,1452,No,No,Yes,"12 months or 15,000 km",660800,Medium,7.7,India
Kia,Sonet,HTK Plus 1.5 AT,2021,May,2021,4,Diesel,BSVI,Automatic,Torque Convertor,44000,1st Owner,Apr-27,Third Party,TS09,"Uppal, Hyderabad",8.9,9.7,9.5,8.9,8.6,7.8,1432,No,No,Yes,"12 months or 10,000 km",739200,Medium,7.5,South Korea
Kia,Seltos,GTX Plus DCT 1.4,2021,Apr,2021,4,Petrol,BSVI,Automatic,DCT,82000,1st Owner,Apr-27,Third Party,AP39,"Kukatpally, Hyderabad",8.74,9.7,9.4,8.1,8.7,7.8,1452,No,No,Yes,No immediate servicing required,940000,High,6.8,South Korea
Maruti Suzuki,S-Cross,Zeta 1.3,2017,May,2017,8,Diesel,BSIV,Manual,Regular,95000,1st Owner,Apr-27,Third Party,AP16,"Kukatpally, Hyderabad",8.6,9.3,9.4,8.2,8.1,8,1576,No,No,Yes,"12 months or 10,000 km",471200,Very High,7,Japan/India
Tata,Nexon,XMA (S) Diesel,2020,Sep,2020,5,Diesel,BSVI,Automatic,AMT,71000,2nd Owner,Apr-27,Third Party,TS07,"Hafeezpet, Hyderabad",9.08,9.7,9.5,9,8.8,8.4,1432,No,No,Yes,"12 months or 15,000 km",7,High,6.8,India
