Brand,Model,Make Year,Car Age (years),Kilometres Driven,km_per_year,Fuel Type,Transmission Type,Transmission Subtype,BS Norm,Number of Previous Owners,Insurance Type,Overall Quality Score,Engine Score,Systems Score,Interior Score,Exterior Score,Wear Score,Composite_Score,Value_Score,Depreciation_Category,Meter Tampered,Flooded,Price (INR)
13,20,2021,4,99000,24750,4,0,4,0,1,1,8.86,9.5,9.3,8.0,8.8,8.7,8.86,7.0,3,0,0,584800
13,20,2021,5,63000,12600,1,1,0,2,3,0,8.86,9.7,9.5,8.8,7.7,8.6,8.86,6.2,3,0,0,598400
4,33,2019,6,66000,11000,4,1,2,1,1,1,8.64,9.8,9.5,7.8,8.1,8.0,8.64,7.9,3,0,0,618400
13,21,2024,2,8000,4000,4,1,0,0,1,0,9.6,10.0,9.8,9.5,9.6,9.1,9.6,8.1,1,0,0,654400
13,25,2022,3,64000,21333,1,0,4,2,2,1,9.06,9.7,9.6,9.0,8.6,8.4,9.06,6.6,3,0,0,1091200
7,15,2020,5,36000,7200,1,0,4,2,1,1,9.26,9.9,9.5,9.3,9.2,8.4,9.26,8.2,3,0,0,1044000
4,33,2022,3,81000,27000,1,0,4,2,1,0,8.9,9.4,9.2,8.6,8.8,8.5,8.9,6.5,3,0,0,727200
7,15,2020,5,77000,15400,4,1,2,1,1,0,9.0,9.6,9.5,8.7,8.9,8.3,9.0,7.2,3,0,0,898400
13,20,2021,4,49000,12250,4,1,0,2,1,0,9.12,9.8,9.7,9.0,8.9,8.2,9.12,7.3,2,0,0,686400
10,19,2022,3,32000,10667,4,1,1,2,1,1,9.3,9.9,9.7,9.5,8.7,8.7,9.3,8.2,2,0,0,664800
10,19,2024,2,37000,18500,4,1,1,2,1,1,9.08,9.9,9.6,9.0,8.9,8.0,9.08,7.4,2,0,0,706400
0,22,2018,8,58000,7250,4,1,6,1,1,1,9.08,9.8,9.6,9.0,8.9,8.1,9.08,8.4,3,0,0,1365406
6,27,2022,3,52000,17333,4,1,2,2,2,1,8.96,9.8,9.6,9.1,8.3,8.0,8.96,6.9,2,0,0,1106400
10,19,2022,3,28000,9333,4,1,1,2,1,0,9.3,9.9,9.3,9.3,9.1,8.9,9.3,7.7,2,0,0,654400
6,27,2021,5,68000,13600,4,1,1,2,1,0,8.92,9.7,9.4,8.9,8.4,8.2,8.92,7.2,3,0,0,871164
0,22,2023,3,22000,7333,4,1,2,2,1,1,9.5,9.9,9.8,9.5,9.4,8.9,9.5,8.6,2,0,0,2868286
5,4,2020,5,82000,16400,4,1,2,2,3,1,8.64,9.6,9.0,7.8,8.5,8.3,8.64,6.2,3,0,0,969486
5,4,2019,6,70000,11667,1,1,5,2,3,1,8.86,9.6,9.5,8.7,8.8,7.7,8.86,7.0,3,0,0,1090686
14,30,2022,4,120000,30000,4,0,4,2,1,0,8.32,9.3,9.2,7.6,8.1,7.4,8.32,6.2,3,0,0,763200
4,5,2020,5,51000,10200,4,0,4,2,1,1,9.24,9.8,9.7,9.0,9.0,8.7,9.24,7.9,3,0,0,880000
6,27,2023,3,47000,15667,4,0,4,2,1,1,9.06,9.8,9.6,8.9,8.6,8.4,9.06,7.5,2,0,0,966400
0,23,2019,7,64000,9143,4,1,6,0,1,1,8.68,9.8,8.8,8.4,8.5,7.9,8.68,7.9,4,0,0,2092606
4,33,2025,0,6000,6000,4,0,4,2,1,0,9.84,10.0,10.0,9.9,9.7,9.6,9.84,7.9,1,0,0,915164
