Brand,Model,Variant / Trim,Make Year,Make Month,Registration Year,Car Age (years),Fuel Type,BS Norm,Transmission Type,Transmission Subtype,Kilometres Driven,Number of Previous Owners,Insurance Validity,Insurance Type,RTO,Car Location,Overall Quality Score,Engine Score,Systems Score,Interior Score,Exterior Score,Wear Score,Parts Evaluated,Meter Tampered,Flooded,Core Structure Intact,Next Service Due,Price (INR)
Tata,Nexon,XZ Plus (S),2021,Jan,2021,4,Petrol,,Manual,Regular,99000,1st Owner,Jan 2027,Comprehensive,TS07,"Uppal, Hyderabad",8.86,9.5,9.3,8.0,8.8,8.7,1573,No,No,Yes,"12 months or 15,000 km",584800
Tata,Nexon,XZA Plus (S) Diesel,2021,Oct,2021,5,Diesel,BSVI,Automatic,AMT,63000,3rd Owner,Apr 2027,Third Party,TS09,"Uppal, Hyderabad",8.86,9.7,9.5,8.8,7.7,8.6,1432,No,No,Yes,"12 months or 15,000 km",598400
Hyundai,Venue,SX Plus 1.0 Turbo DCT,2019,Sep,2019,6,Petrol,BSIV,Automatic,DCT,66000,1st Owner,Sep 2026,Comprehensive,TS12,"Uppal, Hyderabad",8.64,9.8,9.5,7.8,8.1,8.0,1452,No,No,Yes,No immediate servicing required,618400
Tata,Punch,Creative AMT,2024,May,2024,2,Petrol,,Automatic,AMT,8000,1st Owner,Apr 2027,Third Party,TS09,"Uppal, Hyderabad",9.6,10.0,9.8,9.5,9.6,9.1,1452,No,No,Yes,"12 months or 15,000 km",654400
Tata,Safari,XT Plus,2022,Jan,2022,3,Diesel,BSVI,Manual,Regular,64000,2nd Owner,Mar 2027,Comprehensive,TS09,"Kukatpally, Hyderabad",9.06,9.7,9.6,9.0,8.6,8.4,1576,No,No,Yes,"12 months or 15,000 km",1091200
MG Motors,Hector,Sharp 2.0 Diesel,2020,Jun,2020,5,Diesel,BSVI,Manual,Regular,36000,1st Owner,Aug 2026,Comprehensive,TS09,"Kukatpally, Hyderabad",9.26,9.9,9.5,9.3,9.2,8.4,1576,No,No,Yes,"12 months or 10,000 km",1044000
Hyundai,Venue,SX 1.5 CRDi,2022,Apr,2022,3,Diesel,BSVI,Manual,Regular,81000,1st Owner,Apr 2027,Third Party,TS07,"Uppal, Hyderabad",8.9,9.4,9.2,8.6,8.8,8.5,1576,No,No,Yes,"12 months or 10,000 km",727200
MG Motors,Hector,Sharp 1.5 DCT Petrol,2020,Sep,2020,5,Petrol,BSIV,Automatic,DCT,77000,1st Owner,Apr 2027,Third Party,TS04,"Kukatpally, Hyderabad",9.0,9.6,9.5,8.7,8.9,8.3,1452,No,No,Yes,No immediate servicing required,898400
Tata,Nexon,XZA Plus (S),2021,Jul,2021,4,Petrol,BSVI,Automatic,AMT,49000,1st Owner,Aug 2026,Third Party,TS15,"Uppal, Hyderabad",9.12,9.8,9.7,9.0,8.9,8.2,1452,No,No,Yes,"12 months or 15,000 km",686400
Nissan,Magnite,XV Premium Turbo CVT,2022,Feb,2022,3,Petrol,BSVI,Automatic,CVT,32000,1st Owner,Mar 2027,Comprehensive,TS09,"Kukatpally, Hyderabad",9.3,9.9,9.7,9.5,8.7,8.7,1452,No,No,Yes,"12 months or 10,000 km",664800
Nissan,Magnite,XV Premium Turbo CVT,2024,Apr,2024,2,Petrol,BSVI,Automatic,CVT,37000,1st Owner,Aug 2026,Comprehensive,TS09,"Uppal, Hyderabad",9.08,9.9,9.6,9.0,8.9,8.0,1452,No,No,Yes,"12 months or 10,000 km",706400
Audi,Q3,30 TFSI Premium,2018,Nov,2018,8,Petrol,BSIV,Automatic,,58000,1st Owner,Dec 2026,Comprehensive,AP21,"Kukatpally, Hyderabad",9.08,9.8,9.6,9.0,8.9,8.1,1452,No,No,Yes,"12 months or 15,000 km",1365406
Kia,Seltos,GTX Plus 1.4 DCT,2022,Jul,2022,3,Petrol,BSVI,Automatic,DCT,52000,2nd Owner,Oct 2026,Comprehensive,TS07,"Kukatpally, Hyderabad",8.96,9.8,9.6,9.1,8.3,8.0,1452,No,No,Yes,"12 months or 10,000 km",1106400
Nissan,Magnite,XV Premium Turbo CVT,2022,Mar,2022,3,Petrol,BSVI,Automatic,CVT,28000,1st Owner,Apr 2027,Third Party,AP39,"Kukatpally, Hyderabad",9.3,9.9,9.3,9.3,9.1,8.9,1452,No,No,Yes,"12 months or 10,000 km",654400
Kia,Seltos,HTX IVT 1.5,2021,Dec,2021,5,Petrol,BSVI,Automatic,CVT,68000,1st Owner,Apr 2027,Third Party,TS07,"Kukatpally, Hyderabad",8.92,9.7,9.4,8.9,8.4,8.2,1452,No,No,Yes,"12 months or 10,000 km",871164
Audi,Q3,40 TFSI Technology,2023,Oct,2023,3,Petrol,BSVI,Automatic,DCT,22000,1st Owner,Apr 2027,Comprehensive,TS10,"Kukatpally, Hyderabad",9.5,9.9,9.8,9.5,9.4,8.9,1452,No,No,Yes,"12 months or 15,000 km",2868286
,Lexus,NX 300h Luxury,2018,Jan,2018,7,Petrol,,Automatic,CVT,108000,2nd Owner,Insurance Type,Third Party,TS10,"Kukatpally, Hyderabad",8.86,9.6,9.3,8.5,8.7,8.2,1452,No,No,Yes,"12 months or 10,000 km",2173406
